M = 0  out of  237
M = 23  out of  237
M = 46  out of  237
M = 69  out of  237
M = 92  out of  237
M = 115  out of  237
M = 138  out of  237
M = 161  out of  237
M = 184  out of  237
M = 207  out of  237
M = 230  out of  237
         15788728 function calls (15781629 primitive calls) in 1157.523 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 mathtext.py:2202(Parser)
        1    0.000    0.000    0.004    0.004 __init__.py:206(_sanity_check)
        1    0.000    0.000    0.004    0.004 py3k.py:4(<module>)
        1    0.004    0.004    0.004    0.004 {method 'dot' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.004    0.004 mathtext.py:2738(<lambda>)
        1    0.000    0.000    0.004    0.004 mathtext.py:2738(<listcomp>)
     1072    0.001    0.000    0.004    0.000 enum.py:801(__and__)
      383    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      451    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
       18    0.002    0.000    0.004    0.000 enum.py:124(__new__)
        1    0.000    0.000    0.004    0.004 matfuncs.py:3(<module>)
        1    0.000    0.000    0.004    0.004 index_tricks.py:1(<module>)
     1422    0.002    0.000    0.004    0.000 tempfile.py:146(rng)
    21508    0.004    0.000    0.004    0.000 parser.py:22(is_valid_einsum_char)
     2589    0.004    0.000    0.004    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.004    0.004 iterative.py:1(<module>)
        1    0.000    0.000    0.004    0.004 image.py:4(<module>)
       14    0.000    0.000    0.004    0.000 enum.py:364(_create_)
       12    0.000    0.000    0.004    0.000 artist.py:1094(__init__)
       10    0.000    0.000    0.003    0.000 pyparsing.py:4280(__init__)
        1    0.000    0.000    0.003    0.003 __init__.py:928(rc_params)
      126    0.000    0.000    0.003    0.000 deprecation.py:178(deprecate)
       11    0.000    0.000    0.003    0.000 pyparsing.py:1608(parseString)
     3778    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
    19649    0.003    0.000    0.003    0.000 {method 'getrandbits' of '_random.Random' objects}
    33/10    0.000    0.000    0.003    0.000 pyparsing.py:3772(leaveWhitespace)
      491    0.000    0.000    0.003    0.000 colors.py:105(is_color_like)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:634(<module>)
       12    0.001    0.000    0.003    0.000 artist.py:1114(get_aliases)
        1    0.000    0.000    0.003    0.003 numeric.py:1(<module>)
        1    0.000    0.000    0.003    0.003 mlab.py:155(<module>)
      213    0.000    0.000    0.003    0.000 sre_compile.py:223(_compile_charset)
     1185    0.002    0.000    0.003    0.000 linalg.py:108(_makearray)
      373    0.001    0.000    0.003    0.000 colors.py:168(_to_rgba_no_colorcycle)
      429    0.000    0.000    0.003    0.000 pyparsing.py:1167(copy)
      661    0.002    0.000    0.003    0.000 inspect.py:2710(__init__)
        1    0.000    0.000    0.003    0.003 result.py:1(<module>)
        1    0.000    0.000    0.003    0.003 tempfile.py:24(<module>)
