M = 0  out of  250
M = 25  out of  250
M = 50  out of  250
M = 75  out of  250
M = 100  out of  250
M = 125  out of  250
M = 150  out of  250
M = 175  out of  250
M = 200  out of  250
M = 225  out of  250
         4493559 function calls (4487363 primitive calls) in 61.601 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      344    0.000    0.000    0.000    0.000 colors.py:171(<genexpr>)
       97    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       18    0.000    0.000    0.001    0.000 path.py:103(__init__)
      221    0.000    0.000    0.000    0.000 pyparsing.py:1328(preParse)
     1341    0.000    0.000    0.000    0.000 _mathtext_data.py:1756(<genexpr>)
     1058    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
       38    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
    28/16    0.000    0.000    0.002    0.000 pyparsing.py:3525(parseImpl)
        1    0.000    0.000    0.172    0.172 __init__.py:101(<module>)
      428    0.000    0.000    0.000    0.000 pyparsing.py:2182(__hash__)
      131    0.000    0.000    0.000    0.000 sre_parse.py:362(_escape)
       65    0.000    0.000    0.001    0.000 pyparsing.py:2791(parseImpl)
        2    0.000    0.000    0.000    0.000 {method 'truncate' of '_io.TextIOWrapper' objects}
   121/59    0.000    0.000    0.004    0.000 pyparsing.py:3343(<listcomp>)
